商品統計表,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
商品名稱,淨利,毛利,獲利因子,毛損,總交易成本,最大投入金額,總交易次數,獲利交易次數,勝率,虧損交易次數,平均交易,平均獲利交易,平均獲利虧損比,平均虧損交易,最大獲利交易,最大虧損交易,最大區間獲利,最大區間虧損,全部交易的平均持倉K線根數,獲利交易的平均持倉K線根數,回測K線根數,虧損交易的平均持倉K線根數,時間加權報酬,最大投入報酬率,買進持有報酬,大盤指數報酬
Chevron(CVX.US),22,89,1.32,-67,0,181.63,37,13,35.14%,24,1,7,2.44,-3,29,-6,54,-27,11.89,23.69,752,5.50,"12,277",22,"10,183","165,565"
,0.02%,0.09%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.05%,-0.03%,,,,,12.28%,11.87%,10.18%,165.57%
Dominion Energy(D.US),-1,28,-0.96,-30,0,64.31,32,10,31.25%,22,-0,3,2.10,-1,7,-4,16,-15,12.81,24.20,752,7.64,"-1,256",-1,"5,450","165,565"
,-0.00%,0.03%,,-0.03%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.02%,-0.01%,,,,,-1.26%,-2.05%,5.45%,165.57%
Delta Air(DAL.US),41,67,2.51,-27,0,39.41,27,12,44.44%,15,2,6,3.14,-2,15,-7,45,-14,14.22,24.75,752,5.80,"132,234",41,"98,751","165,565"
,0.04%,0.07%,,-0.03%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.01%,-0.01%,0.05%,-0.01%,,,,,132.23%,102.84%,98.75%,165.57%
DoorDash(DASH.US),48,174,1.38,-126,0,192.22,29,15,51.72%,14,2,12,1.29,-9,26,-60,113,-109,14.41,17.87,752,10.71,"54,044",48,"195,701","165,565"
,0.05%,0.17%,,-0.13%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.03%,-0.06%,0.11%,-0.11%,,,,,54.04%,25.16%,195.70%,165.57%
DuPont de Nemours(DD.US),-19,50,-0.72,-69,0,77.65,24,12,50.00%,12,-1,4,0.72,-6,12,-47,24,-51,16.71,26.08,752,7.33,"-30,461",-19,"-34,286","165,565"
,-0.02%,0.05%,,-0.07%,0.00%,,,,,,-0.00%,0.00%,,-0.01%,0.01%,-0.05%,0.02%,-0.05%,,,,,-30.46%,-24.74%,-34.29%,165.57%
Datadog(DDOG.US),21,152,1.16,-132,0,128.48,30,11,36.67%,19,1,14,2.00,-7,24,-22,85,-64,14.70,20.09,752,11.58,"20,319",21,"97,283","165,565"
,0.02%,0.15%,,-0.13%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.02%,-0.02%,0.08%,-0.06%,,,,,20.32%,16.07%,97.28%,165.57%
Deere(DE.US),155,350,1.79,-195,0,450.75,24,11,45.83%,13,6,32,2.12,-15,127,-54,272,-129,17.46,24.91,752,11.15,"38,644",155,"49,744","165,565"
,0.15%,0.35%,,-0.20%,0.00%,,,,,,0.01%,0.03%,,-0.02%,0.13%,-0.05%,0.27%,-0.13%,,,,,38.64%,34.30%,49.74%,165.57%
Deckers Outdoor Corporation(DECK.US),51,168,1.44,-117,0,135.79,27,13,48.15%,14,2,13,1.55,-8,38,-39,93,-59,13.70,21.00,752,6.93,"37,284",51,"32,710","165,565"
,0.05%,0.17%,,-0.12%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.04%,-0.04%,0.09%,-0.06%,,,,,37.28%,37.43%,32.71%,165.57%
Dell(DELL.US),63,176,1.56,-113,0,150.87,36,15,41.67%,21,2,12,2.18,-5,37,-18,96,-113,12.31,21.27,752,5.90,"72,400",63,"402,693","165,565"
,0.06%,0.18%,,-0.11%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.04%,-0.02%,0.10%,-0.11%,,,,,72.40%,41.87%,402.69%,165.57%
Dollar General(DG.US),-16,87,-0.85,-103,0,220,26,10,38.46%,16,-1,9,1.36,-6,34,-32,48,-100,16.77,23.70,752,12.44,"-13,088",-16,"-43,755","165,565"
,-0.02%,0.09%,,-0.10%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.03%,-0.03%,0.05%,-0.10%,,,,,-13.09%,-7.07%,-43.75%,165.57%
Quest Diagnostics(DGX.US),29,83,1.55,-54,0,175.06,23,8,34.78%,15,1,10,2.90,-4,26,-13,46,-23,14.43,29.38,752,6.47,"18,372",29,"40,110","165,565"
,0.03%,0.08%,,-0.05%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.05%,-0.02%,,,,,18.37%,16.71%,40.11%,165.57%
D.R. Horton(DHI.US),17,113,1.18,-96,0,167.58,27,13,48.15%,14,1,9,1.27,-7,25,-28,47,-63,14.81,18.23,752,11.64,"12,852",17,"51,343","165,565"
,0.02%,0.11%,,-0.10%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.02%,-0.03%,0.05%,-0.06%,,,,,12.85%,10.21%,51.34%,165.57%
Danaher(DHR.US),-73,58,-0.44,-130,0,297.06,30,8,26.67%,22,-2,7,1.22,-6,19,-11,66,-102,13.03,17.38,752,11.45,"-29,461",-73,"-18,256","165,565"
,-0.07%,0.06%,,-0.13%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.02%,-0.01%,0.07%,-0.10%,,,,,-29.46%,-24.48%,-18.26%,165.57%
Disney(DIS.US),8,83,1.11,-75,0,117,29,7,24.14%,22,0,12,3.50,-3,27,-9,42,-29,13.07,23.43,752,9.77,"7,846",8,"4,668","165,565"
,0.01%,0.08%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.04%,-0.03%,,,,,7.85%,7.24%,4.67%,165.57%
Digital Realty Trust(DLR.US),61,141,1.76,-80,0,146.9,31,16,51.61%,15,2,9,1.65,-5,25,-24,66,-48,13.42,19.63,752,6.80,"53,020",61,"106,944","165,565"
,0.06%,0.14%,,-0.08%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.03%,-0.02%,0.07%,-0.05%,,,,,53.02%,41.58%,106.94%,165.57%
"Dollar Tree, Inc.(DLTR.US)",21,112,1.23,-91,0,158.55,31,9,29.03%,22,1,12,3.01,-4,30,-13,54,-55,14.10,28.56,752,8.18,"10,255",21,"-32,466","165,565"
,0.02%,0.11%,,-0.09%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.05%,-0.05%,,,,,10.26%,13.31%,-32.47%,165.57%
Healthpeak Properties(DOC.US),-2,11,-0.85,-13,0,18.83,27,7,25.93%,20,-0,2,2.43,-1,6,-3,9,-9,13.26,21.43,752,10.40,"-1,863",-2,"13,640","165,565"
,-0.00%,0.01%,,-0.01%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.01%,-0.01%,,,,,-1.86%,-10.30%,13.64%,165.57%
Dover(DOV.US),17,91,1.23,-74,0,205.26,29,11,37.93%,18,1,8,2.02,-4,18,-15,46,-38,13.55,19.00,752,10.22,"12,631",17,"46,467","165,565"
,0.02%,0.09%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.02%,0.05%,-0.04%,,,,,12.63%,8.34%,46.47%,165.57%
Dow(DOW.US),-9,16,-0.64,-25,0,56.42,30,13,43.33%,17,-0,1,0.83,-1,3,-3,12,-21,13.63,17.62,752,10.59,"-22,180",-9,"-29,616","165,565"
