商品統計表,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
商品名稱,淨利,毛利,獲利因子,毛損,總交易成本,最大投入金額,總交易次數,獲利交易次數,勝率,虧損交易次數,平均交易,平均獲利交易,平均獲利虧損比,平均虧損交易,最大獲利交易,最大虧損交易,最大區間獲利,最大區間虧損,全部交易的平均持倉K線根數,獲利交易的平均持倉K線根數,回測K線根數,虧損交易的平均持倉K線根數,時間加權報酬,最大投入報酬率,買進持有報酬,大盤指數報酬
,0.07%,0.44%,,-0.38%,0.00%,,,,,,0.00%,0.04%,,-0.02%,0.16%,-0.06%,0.26%,-0.26%,,,,,16.89%,8.69%,-9.20%,165.57%
Invitation Homes(INVH.US),-12,9,-0.42,-20,0,40.9,28,7,25.00%,21,-0,1,1.27,-1,2,-4,4,-15,14.11,22.14,752,11.43,"-30,002",-12,"-19,856","165,565"
,-0.01%,0.01%,,-0.02%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.00%,-0.02%,,,,,-30.00%,-28.24%,-19.86%,165.57%
International Paper(IP.US),13,39,1.51,-26,0,38.03,27,10,37.04%,17,0,4,2.56,-2,8,-4,26,-16,15.37,22.90,752,10.94,"37,177",13,"-7,519","165,565"
,0.01%,0.04%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.03%,-0.02%,,,,,37.18%,34.24%,-7.52%,165.57%
IQVIA(IQV.US),54,184,1.41,-130,0,205.17,27,12,44.44%,15,2,15,1.76,-9,39,-17,97,-94,16.70,26.42,752,8.93,"30,103",54,"-13,566","165,565"
,0.05%,0.18%,,-0.13%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.04%,-0.02%,0.10%,-0.09%,,,,,30.10%,26.13%,-13.57%,165.57%
Ingersoll Rand(IR.US),18,58,1.44,-40,0,86.25,30,12,40.00%,18,1,5,2.16,-2,12,-5,25,-20,13.53,18.25,752,10.39,"25,673",18,"51,548","165,565"
,0.02%,0.06%,,-0.04%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.02%,,,,,25.67%,20.64%,51.55%,165.57%
Iron Mountain(IRM.US),22,70,1.47,-48,0,94.82,26,11,42.31%,15,1,6,2.00,-3,11,-11,34,-31,12.54,18.09,752,8.47,"35,306",22,"116,371","165,565"
,0.02%,0.07%,,-0.05%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.01%,-0.01%,0.03%,-0.03%,,,,,35.31%,23.40%,116.37%,165.57%
Intuitive Surgical(ISRG.US),61,345,1.21,-285,0,480.99,28,12,42.86%,16,2,29,1.62,-18,108,-81,206,-154,14.75,23.92,752,7.88,"16,249",61,"61,686","165,565"
,0.06%,0.35%,,-0.28%,0.00%,,,,,,0.00%,0.03%,,-0.02%,0.11%,-0.08%,0.21%,-0.15%,,,,,16.25%,12.61%,61.69%,165.57%
Gartner(IT.US),165,251,2.94,-85,0,403.17,22,12,54.55%,10,8,21,2.45,-9,72,-22,226,-56,18.00,22.50,752,12.60,"42,090",165,"-48,251","165,565"
,0.17%,0.25%,,-0.09%,0.00%,,,,,,0.01%,0.02%,,-0.01%,0.07%,-0.02%,0.23%,-0.06%,,,,,42.09%,41.03%,-48.25%,165.57%
Illinois Tool Works Inc.(ITW.US),55,129,1.76,-73,0,242.33,27,11,40.74%,16,2,12,2.55,-5,39,-10,66,-29,13.22,20.91,752,7.94,"23,543",55,"13,078","165,565"
,0.06%,0.13%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.04%,-0.01%,0.07%,-0.03%,,,,,23.54%,22.84%,13.08%,165.57%
Invesco(IVZ.US),6,14,1.72,-8,0,22.16,23,10,43.48%,13,0,1,2.23,-1,5,-2,8,-5,15.00,25.20,752,7.15,"44,316",6,"49,649","165,565"
,0.01%,0.01%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.01%,,,,,44.32%,26.53%,49.65%,165.57%
Jacobs Solutions(J.US),-3,66,-0.96,-69,0,129.53,29,12,41.38%,17,-0,6,1.36,-4,18,-17,43,-37,13.76,19.33,752,9.82,"-2,478",-3,"35,318","165,565"
,-0.00%,0.07%,,-0.07%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.02%,-0.02%,0.04%,-0.04%,,,,,-2.48%,-2.14%,35.32%,165.57%
J.B. Hunt Transport Services(JBHT.US),68,178,1.62,-110,0,203.85,26,9,34.62%,17,3,20,3.06,-6,40,-19,111,-82,16.00,29.00,752,9.12,"38,878",68,"39,652","165,565"
,0.07%,0.18%,,-0.11%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.04%,-0.02%,0.11%,-0.08%,,,,,38.88%,33.34%,39.65%,165.57%
Jabil(JBL.US),149,234,2.77,-84,0,187.08,31,13,41.94%,18,5,18,3.83,-5,66,-14,150,-54,14.16,19.38,752,10.39,"141,938",149,"326,525","165,565"
,0.15%,0.23%,,-0.08%,0.00%,,,,,,0.00%,0.02%,,-0.00%,0.07%,-0.01%,0.15%,-0.05%,,,,,141.94%,79.81%,326.52%,165.57%
Johnson Controls(JCI.US),45,86,2.11,-41,0,102.98,26,12,46.15%,14,2,7,2.46,-3,27,-6,57,-24,16.50,24.75,752,9.43,"51,543",45,"136,886","165,565"
,0.05%,0.09%,,-0.04%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.06%,-0.02%,,,,,51.54%,44.05%,136.89%,165.57%
Jack Henry & Associates(JKHY.US),3,73,1.04,-70,0,186.69,28,10,35.71%,18,0,7,1.87,-4,23,-13,43,-48,13.46,20.70,752,9.44,"1,851",3,"-1,116","165,565"
,0.00%,0.07%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.04%,-0.05%,,,,,1.85%,1.45%,-1.12%,165.57%
Johnson & Johnson(JNJ.US),50,99,2.05,-48,0,188.73,22,11,50.00%,11,2,9,2.05,-4,29,-11,77,-30,16.95,21.73,752,12.18,"28,245",50,"38,976","165,565"
,0.05%,0.10%,,-0.05%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.08%,-0.03%,,,,,28.24%,26.70%,38.98%,165.57%
JPMorgan Chase(JPM.US),66,140,1.90,-73,0,245.89,26,13,50.00%,13,3,11,1.90,-6,28,-22,114,-72,15.73,23.23,752,8.23,"43,098",66,"122,861","165,565"
,0.07%,0.14%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.03%,-0.02%,0.11%,-0.07%,,,,,43.10%,26.98%,122.86%,165.57%
Keurig Dr Pepper(KDP.US),-5,14,-0.75,-19,0,39.12,27,9,33.33%,18,-0,2,1.50,-1,4,-6,7,-11,15.59,24.33,752,11.22,"-12,561",-5,"-25,028","165,565"
,-0.00%,0.01%,,-0.02%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.00%,-0.01%,0.01%,-0.01%,,,,,-12.56%,-12.24%,-25.03%,165.57%
KeyCorp(KEY.US),9,17,2.29,-7,0,14.23,28,12,42.86%,16,0,1,3.06,-0,3,-1,10,-3,12.61,21.50,752,5.94,"90,706",9,"90,823","165,565"
,0.01%,0.02%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.00%,,,,,90.71%,65.57%,90.82%,165.57%
Keysight Technologies(KEYS.US),60,144,1.72,-84,0,277.91,29,10,34.48%,19,2,14,3.26,-4,36,-14,64,-34,13.62,22.30,752,9.05,"40,410",60,"129,127","165,565"
,0.06%,0.14%,,-0.08%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.04%,-0.01%,0.06%,-0.03%,,,,,40.41%,21.70%,129.13%,165.57%
Kraft Heinz(KHC.US),-9,11,-0.55,-20,0,35.12,32,8,25.00%,24,-0,1,1.64,-1,5,-2,7,-15,12.16,21.75,752,8.96,"-30,368",-9,"-44,158","165,565"
,-0.01%,0.01%,,-0.02%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.01%,,,,,-30.37%,-26.48%,-44.16%,165.57%
Kimco Realty(KIM.US),2,10,1.25,-8,0,21.47,27,13,48.15%,14,0,1,1.35,-1,5,-1,6,-4,14.59,21.15,752,8.50,"9,322",2,"23,109","165,565"
,0.00%,0.01%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.00%,,,,,9.32%,9.73%,23.11%,165.57%
KKR(KKR.US),-2,92,-0.97,-94,0,121.07,25,11,44.00%,14,-0,8,1.24,-7,23,-38,49,-71,15.04,21.18,752,10.21,"15,679",-2,"101,025","165,565"
,-0.00%,0.09%,,-0.09%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.02%,-0.04%,0.05%,-0.07%,,,,,15.68%,-1.97%,101.02%,165.57%
KLA(KLAC.US),61,"1,054",1.06,-994,0,"1,750.6",32,16,50.00%,16,2,66,1.06,-62,289,-479,654,-653,13.75,17.25,752,10.25,"-98,213",61,"385,989","165,565"
,0.06%,1.05%,,-0.99%,0.00%,,,,,,0.00%,0.07%,,-0.06%,0.29%,-0.48%,0.65%,-0.65%,,,,,-98.21%,3.46%,385.99%,165.57%
Kimberly-Clark(KMB.US),-62,30,-0.33,-93,0,170.24,27,8,29.63%,19,-2,4,0.77,-5,12,-30,21,-74,16.67,25.63,752,12.89,"-39,016",-62,"-31,621","165,565"
,-0.06%,0.03%,,-0.09%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.03%,0.02%,-0.07%,,,,,-39.02%,-36.67%,-31.62%,165.57%
Kinder Morgan(KMI.US),10,16,2.95,-5,0,23.4,26,11,42.31%,15,0,1,4.02,-0,6,-1,11,-8,13.69,21.36,752,8.07,"50,597",10,"83,237","165,565"
,0.01%,0.02%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.01%,-0.01%,,,,,50.60%,44.62%,83.24%,165.57%
Coca-Cola(KO.US),10,30,1.50,-20,0,69.08,28,9,32.14%,19,0,3,3.17,-1,9,-4,19,-13,13.39,25.44,752,7.68,"15,199",10,"15,259","165,565"
,0.01%,0.03%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.02%,-0.01%,,,,,15.20%,14.27%,15.26%,165.57%
Kroger(KR.US),2,30,1.09,-27,0,70.77,31,9,29.03%,22,0,3,2.66,-1,9,-4,17,-14,11.35,20.33,752,7.68,"4,975",2,"42,317","165,565"
,0.00%,0.03%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.02%,-0.01%,,,,,4.98%,3.31%,42.32%,165.57%
Kenvue(KVUE.US),-2,9,-0.82,-11,0,26,23,10,43.48%,13,-0,1,1.07,-1,4,-2,6,-5,14.30,17.80,744,11.62,"-10,072",-2,"-32,197","165,565"
,-0.00%,0.01%,,-0.01%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.01%,,,,,-10.07%,-7.85%,-32.20%,165.57%
Loews(L.US),32,39,5.24,-7,0,82.49,30,19,63.33%,11,1,2,3.04,-1,5,-2,34,-7,14.57,17.95,752,8.73,"43,115",32,"95,668","165,565"
,0.03%,0.04%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.03%,-0.01%,,,,,43.12%,38.27%,95.67%,165.57%
Leidos(LDOS.US),42,114,1.57,-73,0,123.13,28,11,39.29%,17,1,10,2.43,-4,21,-13,95,-49,14.21,23.18,752,8.41,"55,550",42,"64,423","165,565"
,0.04%,0.11%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.09%,-0.05%,,,,,55.55%,33.76%,64.42%,165.57%
Lennar - Class A(LEN.US),-23,81,-0.78,-104,0,159.31,30,7,23.33%,23,-1,12,2.57,-5,21,-10,50,-72,11.83,18.29,752,9.87,"-14,243",-23,"-11,394","165,565"
,-0.02%,0.08%,,-0.10%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.05%,-0.07%,,,,,-14.24%,-14.31%,-11.39%,165.57%
Labcorp(LH.US),-21,84,-0.80,-105,0,300.8,32,9,28.13%,23,-1,9,2.05,-5,24,-8,49,-63,9.84,20.89,752,5.52,"-7,787",-21,"35,808","165,565"
,-0.02%,0.08%,,-0.11%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.05%,-0.06%,,,,,-7.79%,-6.90%,35.81%,165.57%
L3Harris Technologies(LHX.US),60,161,1.60,-100,0,285.35,28,10,35.71%,18,2,16,2.88,-6,70,-14,120,-35,15.00,25.80,752,9.00,"25,818",60,"64,083","165,565"
,0.06%,0.16%,,-0.10%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.07%,-0.01%,0.12%,-0.03%,,,,,25.82%,21.18%,64.08%,165.57%
Lennox International Inc.(LII.US),-223,241,-0.52,-464,0,770.62,39,12,30.77%,27,-6,20,1.17,-17,34,-51,94,-343,10.13,19.17,752,6.11,"-29,281",-223,"88,369","165,565"
,-0.22%,0.24%,,-0.46%,0.00%,,,,,,-0.01%,0.02%,,-0.02%,0.03%,-0.05%,0.09%,-0.34%,,,,,-29.28%,-28.96%,88.37%,165.57%
Linde(LIN.US),78,199,1.65,-121,0,420.36,27,11,40.74%,16,3,18,2.40,-8,50,-19,121,-77,14.78,20.27,752,11.00,"20,534",78,"34,638","165,565"
,0.08%,0.20%,,-0.12%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.05%,-0.02%,0.12%,-0.08%,,,,,20.53%,18.64%,34.64%,165.57%
Lumentum(LITE.US),379,521,3.66,-142,0,446.42,30,14,46.67%,16,13,37,4.18,-9,260,-68,602,-266,14.80,21.14,752,9.25,"401,903",379,"1,763,879","165,565"
,0.38%,0.52%,,-0.14%,0.00%,,,,,,0.01%,0.04%,,-0.01%,0.26%,-0.07%,0.60%,-0.27%,,,,,401.90%,84.84%,1763.88%,165.57%
Eli Lilly(LLY.US),529,833,2.74,-304,0,668.74,25,11,44.00%,14,21,76,3.49,-22,197,-61,701,-172,16.48,23.73,752,10.79,"95,527",529,"139,196","165,565"
,0.53%,0.83%,,-0.30%,0.00%,,,,,,0.02%,0.08%,,-0.02%,0.20%,-0.06%,0.70%,-0.17%,,,,,95.53%,79.11%,139.20%,165.57%
Lockheed Martin(LMT.US),105,377,1.39,-272,0,512.06,25,9,36.00%,16,4,42,2.46,-17,146,-77,245,-181,18.04,27.67,752,12.63,"25,583",105,"15,141","165,565"
,0.11%,0.38%,,-0.27%,0.00%,,,,,,0.00%,0.04%,,-0.02%,0.15%,-0.08%,0.24%,-0.18%,,,,,25.58%,20.51%,15.14%,165.57%
Alliant Energy(LNT.US),6,23,1.33,-17,0,65.09,31,10,32.26%,21,0,2,2.80,-1,5,-2,13,-8,12.16,22.60,752,7.19,"9,433",6,"28,527","165,565"
,0.01%,0.02%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.01%,,,,,9.43%,8.74%,28.53%,165.57%
Lowe's(LOW.US),43,156,1.38,-113,0,245.12,31,14,45.16%,17,1,11,1.68,-7,31,-33,94,-62,14.06,22.21,752,7.35,"20,905",43,"16,591","165,565"
,0.04%,0.16%,,-0.11%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.03%,-0.03%,0.09%,-0.06%,,,,,20.90%,17.52%,16.59%,165.57%
Lam Research(LRCX.US),72,162,1.79,-91,0,193.79,35,14,40.00%,21,2,12,2.69,-4,51,-14,102,-39,12.80,17.07,752,9.95,"61,452",72,"415,261","165,565"
,0.07%,0.16%,,-0.09%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.05%,-0.01%,0.10%,-0.04%,,,,,61.45%,36.95%,415.26%,165.57%
lululemon athletica(LULU.US),-38,273,-0.88,-311,0,422.9,28,8,28.57%,20,-1,34,2.20,-16,104,-49,137,-188,15.21,22.13,752,12.45,"-21,352",-38,"-56,846","165,565"
,-0.04%,0.27%,,-0.31%,0.00%,,,,,,-0.00%,0.03%,,-0.02%,0.10%,-0.05%,0.14%,-0.19%,,,,,-21.35%,-8.95%,-56.85%,165.57%
Southwest Airlines(LUV.US),16,32,2.05,-16,0,36.61,28,12,42.86%,16,1,3,2.73,-1,7,-4,21,-8,13.57,19.83,752,8.88,"63,543",16,"21,978","165,565"
,0.02%,0.03%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.02%,-0.01%,,,,,63.54%,45.02%,21.98%,165.57%
Las Vegas Sands Corp.(LVS.US),-10,37,-0.79,-47,0,67.43,30,8,26.67%,22,-0,5,2.17,-2,10,-8,22,-20,11.90,21.75,752,8.32,"-13,638",-10,"-9,833","165,565"
,-0.01%,0.04%,,-0.05%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.02%,,,,,-13.64%,-14.68%,-9.83%,165.57%
LyondellBasell(LYB.US),-17,41,-0.71,-57,0,121.75,34,9,26.47%,25,-0,5,1.98,-2,17,-10,28,-44,12.53,17.44,752,10.76,"-10,195",-17,"-23,510","165,565"
,-0.02%,0.04%,,-0.06%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.02%,-0.01%,0.03%,-0.04%,,,,,-10.20%,-13.58%,-23.51%,165.57%
Live Nation Entertainment(LYV.US),68,118,2.39,-49,0,104.99,27,15,55.56%,12,3,8,1.91,-4,18,-13,86,-24,14.15,18.60,752,8.58,"89,919",68,"129,285","165,565"
,0.07%,0.12%,,-0.05%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.09%,-0.02%,,,,,89.92%,65.05%,129.29%,165.57%
Mastercard(MA.US),59,278,1.27,-219,0,475.13,32,12,37.50%,20,2,23,2.11,-11,52,-28,153,-107,12.91,23.92,752,6.30,"14,996",59,"35,988","165,565"
,0.06%,0.28%,,-0.22%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.05%,-0.03%,0.15%,-0.11%,,,,,15.00%,12.41%,35.99%,165.57%
Mid-America Apartment(MAA.US),-9,60,-0.87,-69,0,173.34,27,11,40.74%,16,-0,5,1.27,-4,15,-16,36,-34,14.93,20.73,752,10.94,"-6,021",-9,"-17,413","165,565"
,-0.01%,0.06%,,-0.07%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.02%,-0.02%,0.04%,-0.03%,,,,,-6.02%,-5.05%,-17.41%,165.57%
Marriott International(MAR.US),147,242,2.56,-95,0,229.98,32,17,53.13%,15,5,14,2.25,-6,43,-25,164,-47,14.09,19.41,752,8.07,"74,594",147,"110,053","165,565"
,0.15%,0.24%,,-0.09%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.04%,-0.02%,0.16%,-0.05%,,,,,74.59%,63.98%,110.05%,165.57%
Masco(MAS.US),21,59,1.56,-38,0,73.92,28,13,46.43%,15,1,5,1.81,-3,15,-9,24,-19,13.00,19.08,752,7.73,"38,561",21,"44,934","165,565"
,0.02%,0.06%,,-0.04%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.02%,,,,,38.56%,28.67%,44.93%,165.57%
McDonald's(MCD.US),-49,91,-0.65,-139,0,385.16,29,9,31.03%,20,-2,10,1.45,-7,33,-22,49,-96,14.00,24.44,752,9.30,"-15,245",-49,"2,472","165,565"
,-0.05%,0.09%,,-0.14%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.03%,-0.02%,0.05%,-0.10%,,,,,-15.24%,-12.62%,2.47%,165.57%
Microchip Technology(MCHP.US),-9,70,-0.89,-79,0,77.12,27,10,37.04%,17,-0,7,1.51,-5,18,-24,27,-34,16.59,20.30,752,14.41,"-2,447",-9,"7,466","165,565"
,-0.01%,0.07%,,-0.08%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.02%,-0.02%,0.03%,-0.03%,,,,,-2.45%,-11.70%,7.47%,165.57%
McKesson(MCK.US),-43,301,-0.88,-344,0,883.4,33,9,27.27%,24,-1,33,2.34,-14,115,-45,224,-216,11.27,20.56,752,7.79,299,-43,"130,386","165,565"
,-0.04%,0.30%,,-0.34%,0.00%,,,,,,-0.00%,0.03%,,-0.01%,0.11%,-0.04%,0.22%,-0.22%,,,,,0.30%,-4.83%,130.39%,165.57%
Moody's(MCO.US),40,262,1.18,-222,0,470.22,29,12,41.38%,17,1,22,1.67,-13,59,-38,136,-126,15.86,22.75,752,11.00,"14,017",40,"53,410","165,565"
,0.04%,0.26%,,-0.22%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.06%,-0.04%,0.14%,-0.13%,,,,,14.02%,8.45%,53.41%,165.57%
Mondelez International(MDLZ.US),-14,29,-0.67,-43,0,73.33,32,9,28.13%,23,-0,3,1.71,-2,6,-7,15,-27,13.84,20.33,752,11.30,"-21,691",-14,"-21,430","165,565"
,-0.01%,0.03%,,-0.04%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.01%,-0.03%,,,,,-21.69%,-19.62%,-21.43%,165.57%
Medtronic(MDT.US),3,47,1.07,-44,0,90.19,30,10,33.33%,20,0,5,2.13,-2,12,-5,34,-19,12.10,21.50,752,7.40,"3,958",3,"-5,721","165,565"
,0.00%,0.05%,,-0.04%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.03%,-0.02%,,,,,3.96%,3.24%,-5.72%,165.57%
"MetLife, Inc.(MET.US)",20,51,1.65,-31,0,61.94,30,13,43.33%,17,1,4,2.15,-2,11,-4,33,-19,14.27,23.54,752,7.18,"36,672",20,"28,177","165,565"
,0.02%,0.05%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.03%,-0.02%,,,,,36.67%,32.60%,28.18%,165.57%
Meta(META.US),212,555,1.62,-343,0,568.68,31,14,45.16%,17,7,40,1.96,-20,106,-63,275,-189,12.06,19.00,752,6.35,"51,268",212,"215,769","165,565"
,0.21%,0.56%,,-0.34%,0.00%,,,,,,0.01%,0.04%,,-0.02%,0.11%,-0.06%,0.27%,-0.19%,,,,,51.27%,37.27%,215.77%,165.57%
MGM Resorts(MGM.US),-12,26,-0.69,-38,0,51.01,29,11,37.93%,18,-0,2,1.12,-2,5,-6,13,-19,13.83,22.55,752,8.50,"-28,985",-12,"-12,489","165,565"
,-0.01%,0.03%,,-0.04%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.00%,-0.01%,0.01%,-0.02%,,,,,-28.98%,-23.72%,-12.49%,165.57%
McCormick - Common Stock Non-Voting(MKC.US),-7,21,-0.74,-29,0,91,24,9,37.50%,15,-0,2,1.23,-2,7,-9,17,-23,18.08,24.78,752,14.07,"-9,059",-7,"-40,019","165,565"
,-0.01%,0.02%,,-0.03%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.02%,,,,,-9.06%,-8.23%,-40.02%,165.57%
Martin Marietta Materials(MLM.US),64,248,1.34,-184,0,632.33,25,11,44.00%,14,3,23,1.71,-13,85,-31,164,-101,13.32,19.27,752,8.64,"14,433",64,"71,605","165,565"
,0.06%,0.25%,,-0.18%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.09%,-0.03%,0.16%,-0.10%,,,,,14.43%,10.06%,71.61%,165.57%
3M(MMM.US),7,66,1.12,-59,0,156.27,27,9,33.33%,18,0,7,2.24,-3,22,-12,41,-28,13.67,23.00,752,9.00,"14,793",7,"65,980","165,565"
,0.01%,0.07%,,-0.06%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.04%,-0.03%,,,,,14.79%,4.50%,65.98%,165.57%
Monster Beverage(MNST.US),18,41,1.80,-23,0,65.27,29,13,44.83%,16,1,3,2.21,-1,7,-6,21,-11,13.00,17.92,752,9.00,"33,499",18,"42,871","165,565"
,0.02%,0.04%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.01%,,,,,33.50%,28.13%,42.87%,165.57%
Altria Group(MO.US),21,38,2.22,-17,0,51.17,26,10,38.46%,16,1,4,3.55,-1,10,-2,30,-7,16.23,24.00,752,11.38,"44,041",21,"40,778","165,565"
,0.02%,0.04%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.03%,-0.01%,,,,,44.04%,41.27%,40.78%,165.57%
Mosaic(MOS.US),-4,25,-0.86,-29,0,35.69,29,8,27.59%,21,-0,3,2.27,-1,9,-4,12,-14,16.00,27.38,752,11.67,"-13,702",-4,"-44,184","165,565"
,-0.00%,0.03%,,-0.03%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.01%,-0.01%,,,,,-13.70%,-11.21%,-44.18%,165.57%
Marathon Petroleum(MPC.US),112,192,2.41,-80,0,145.89,26,9,34.62%,17,4,21,4.55,-5,37,-15,129,-47,16.27,27.67,752,10.24,"95,307",112,"80,091","165,565"
,0.11%,0.19%,,-0.08%,0.00%,,,,,,0.00%,0.02%,,-0.00%,0.04%,-0.02%,0.13%,-0.05%,,,,,95.31%,76.96%,80.09%,165.57%
Monolithic Power Systems(MPWR.US),810,"1,392",2.39,-582,0,792.27,31,14,45.16%,17,26,99,2.90,-34,419,-128,903,-228,13.97,21.43,752,7.82,"129,624",810,"226,786","165,565"
,0.81%,1.39%,,-0.58%,0.00%,,,,,,0.03%,0.10%,,-0.03%,0.42%,-0.13%,0.90%,-0.23%,,,,,129.62%,102.23%,226.79%,165.57%
Merck(MRK.US),-10,45,-0.81,-55,0,136.16,33,10,30.30%,23,-0,4,1.86,-2,15,-10,31,-47,13.45,21.70,752,9.87,"-10,081",-10,"-2,374","165,565"
,-0.01%,0.04%,,-0.06%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.03%,-0.05%,,,,,-10.08%,-7.70%,-2.37%,165.57%
Moderna(MRNA.US),-33,84,-0.72,-117,0,135.19,27,10,37.04%,17,-1,8,1.22,-7,28,-40,96,-110,17.00,21.80,752,14.18,"-39,205",-33,"-60,531","165,565"
,-0.03%,0.08%,,-0.12%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.03%,-0.04%,0.10%,-0.11%,,,,,-39.20%,-24.38%,-60.53%,165.57%
Marsh(MRSH.US),-24,0,-0,-24,0,191.14,4,0,0.00%,4,-6,0,0.00,-6,0,-12,8,-26,7.25,0.00,752,7.25,"-12,826",-24,"-2,500","165,565"
,-0.02%,0.00%,,-0.02%,0.00%,,,,,,-0.01%,0.00%,,-0.01%,0.00%,-0.01%,0.01%,-0.03%,,,,,-12.83%,-12.73%,-2.50%,165.57%
Morgan Stanley(MS.US),90,133,3.12,-43,0,125.38,27,14,51.85%,13,3,10,2.90,-3,32,-9,102,-20,15.44,22.14,752,8.23,"112,840",90,"109,416","165,565"
,0.09%,0.13%,,-0.04%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.10%,-0.02%,,,,,112.84%,72.11%,109.42%,165.57%
MSCI(MSCI.US),-53,269,-0.84,-322,0,661.34,29,10,34.48%,19,-2,27,1.59,-17,72,-51,92,-207,14.48,20.30,752,11.42,"-8,406",-53,"11,422","165,565"
,-0.05%,0.27%,,-0.32%,0.00%,,,,,,-0.00%,0.03%,,-0.02%,0.07%,-0.05%,0.09%,-0.21%,,,,,-8.41%,-8.00%,11.42%,165.57%
